English,Slovak
you,vy
the,ten
to,do
it,to
and,a
that,taký
of,z
is,je
in,v
what,čo
we,my
me,ja
this,tak
he,on
for,pre
my,môj
on,na
have,mať
your,váš
do,robiť
was,bol
m,m
no,nie
not,nie
be,byť
are,byť
don,dláždiť
re,rekrea
know,poznať
can,môcť
with,s
but,ale
all,všetko
so,tak
just,pravidelný
there,tam
here,tu
they,oni
like,Páči sa mi to
ll,ll
get,dostať
she,on
go,ísť
if,či
right,správny
out,von
about,o
up,nahor
at,pri
him,jeho
now,teraz
oh,oh
one,jeden
come,prichádzať
well,úhľadný
her,jej
how,ako
yeah,jo
ve,VE
will,vôľa
got,mať
want,chcieť
think,myslieť si
as,ako
see,pozrieť sa
did,uplatniť
good,dobrý
who,SZO
why,dôvod
from,od
let,nechať
his,jeho
yes,Áno
when,kedy
going,priebežný
time,čas
an,a
okay,v poriadku
back,späť
look,pozerať sa
us,my
would,by
them,nimi
where,kde
were,boli
take,zaberať
then,potom
had,mať
or,alebo
been,Bol
our,náš
gonna,príjmový
tell,oznámiť
really,skutočne
man,muž
some,niečo
say,povedať
hey,hej
could,mohol
d,d
didn,nemal
by,podľa
need,potreba
something,niečo
has,mať
too,tiež
more,viac
way,spôsob
down,dole
make,urobiť
very,veľmi
never,nikdy
only,iba
people,osoby
over,nadol
because,pretože
little,malý
please,prosím
love,milosť
should,mali by
mean,znamenať
said,uvedený
sorry,Prepáč
give,poskytnúť
off,vypnutý
am,am
thank,poďakovať
any,akýkoľvek
two,dva
even,rovnomerný
much,veľa
doing,robí
sure,samozrejme
thing,vec
these,títo
help,Pomoc
first,najprv
into,do
anything,čokoľvek
still,stále
find,Nájsť
life,životnosť
nothing,nič
sir,pane
day,deň
god,bohatstvo
work,práca
their,ich
uh,uh
again,znova
maybe,možno
must,musieť
before,pred
other,druhý
wait,čakať
stop,zastavenie
call,zavolať
after,po
won,vyhratý
talk,reč
away,preč
than,než
thought,premyslenie
home,Domov
night,noc
put,uviesť
great,skvelý
those,tie
last,posledný
better,lepší
everything,všetko
told,informovaný
mr.,Pán.
new,Nový
things,veci
always,vždy
keep,držať
long,dlhý
years,roky
leave,opustiť
does,robiť
money,peniaze
around,okolo
doesn,robiť
name,názov
place,miesto
ever,vôbec
feel,cítiť
guys,chlapci
father,otca
guy,chlap
made,vyrobený
old,starý
isn,iSn
which,aký
big,veľký
lot,veľa
done,hotový
hello,Ahoj
nice,pekný
believe,veriť
girl,dievča
someone,niekto
fine,pokuta
thanks,Vďaka
wanted,hľadaný
kind,milý
coming,prichádzajúci
house,dom
every,každý
ok,v poriadku
through,cez
being,bytosť
course,priebeh
stay,pobyt
left,vľavo
dad,ocko
enough,dosť
happened,Stalo
came,prišiel
may,smieť
mother,matka
wrong,chybne
world,svet
bad,zlý
might,možno
three,tri
today,dnes
listen,počúvať
another,ďalší
understand,rozumieť
hear,počuť
remember,zapamätať si
ask,opýtať sa
own,vlastný
same,istota
show,šou
else,inak
kill,zabitie
talking,hovoriaci
found,zistiť
next,Ďalšie
getting,príchod
care,starostlivosť
car,auto
looking,hľadaný
son,syn
try,vyskúšať
woman,žena
went,šiel
hi,Ahoj
dead,mŕtvy
many,veľa
mind,zohľadniť
wasn,udelený
friend,priateľ
best,najlepšie
mom,mama
hell,do pekla
morning,ráno
trying,snaha
boy,chlapci
together,dohromady
yourself,sami
job,práca
saw,píca
family,rodina
real,reálny
without,bez
baby,detský
room,miestnosť
wouldn,by
already,už
move,presťahovať sa
most,najviac
seen,pozeraný
live,živý
miss,chýbať
actually,vlastne
huh,hm
shit,hovno
both,oba
heard,vypočutý
once,akonáhle
ready,pripravený
head,hlavný
called,nazývaný
used,použitý
idea,nápad
knew,poznávací
hold,zadržať
happy,šťasný
door,dvere
such,taký
fuck,šukanie
brother,brat
also,tiež
pretty,celkom
bit,trocha
took,trvať
haven,útočisko
yet,ešte
men,muži
whole,celok
start,štart
use,využitie
while,zatiaľ čo
since,od
wife,manželka
days,dni
guess,hádať
tomorrow,zajtra
matter,záležitosť
meet,stretávať sa
bring,priniesť
tonight,dnes večer
everyone,každý
run,spustenie
wanna,chcieť
hard,ťažko
ah,ah
alone,sám
myself,sám
school,školský
gone,preč
um,hm
end,koniec
saying,hovorenie
phone,telefonovať
play,hrať
looks,vzhľad
couldn,nemohol
fucking,zasraný
problem,problém
few,málo
friends,priatelia
gotta,musím musel
ago,pred
open,OTVORENÉ
anyone,niekto
killed,zabitý
hope,nádej
face,tvár
until,až do
lost,stratený
police,POLÍCIA
excuse,ospravedlnenie
turn,otáčať sa
business,podnikanie
case,prípad
wants,túžba
says,ujasniť
TRUE,Pravdivý
die,odumrieť
heart,Srdce
soon,čoskoro
each,každý
worry,strach
later,neskôr
year,rok
watch,pozerať sa
music,hudba
hand,ručný
having,majúce
probably,pravdepodobne
beautiful,krásny
doctor,lekár
sit,sedieť
eat,jesť
thinking,myslenie
young,mladí
second,druhý
working,pracujúci
water,vodná voda
person,osoba
part,časť
kids,deť
late,neskorý
stuff,tma
exactly,presne
under,pod
death,úmrtnosť
minute,drobný
pay,platiť
crazy,šialený
forget,zabudnúť
everybody,všetka
kid,detský
change,zmena
gave,dal
happen,stať sa
damn,prekliať
five,päť
drink,piť
far,vzdialený
knows,poznať
its,svoj
whatever,Hocičo
eyes,oči
shut,zavrieť
